channel_name,title,duration_seconds,view_count,like_count,comment_count,engagement_rate,video_length_category,title_category
From The Desk Of Anthony Pompliano,The Future Of This Channel..,74,7086,465,36,0.07070279424216766,short,undefined
From The Desk Of Anthony Pompliano,I Have To Save My $150 Million Company | The Mission Ep. 003,218,28541,1228,151,0.04831645702673347,short,undefined
From The Desk Of Anthony Pompliano,Kevin O'Leary Yelled at Me on National Television,74,5373,178,5,0.034059184812953655,short,undefined
From The Desk Of Anthony Pompliano,Why AI Already Won (Nobody Noticed),50,1197,12,4,0.013366750208855471,short,news-reaction
From The Desk Of Anthony Pompliano,What Wall Street Bears are saying about AI #shorts,32,3685,30,3,0.008955223880597015,short,news-reaction
From The Desk Of Anthony Pompliano,Why AI Money Is Coming Back to Bitcoin,34,8687,122,7,0.014849775526649015,short,news-reaction
From The Desk Of Anthony Pompliano,Why AI Is Not The Next Dot-Com Bubble,49,386,7,5,0.031088082901554404,short,news-reaction
From The Desk Of Anthony Pompliano,CZ Explains The Bitcoin Four-Year Cycle,62,1538,38,4,0.027308192457737322,short,coins
From The Desk Of Anthony Pompliano,July Is BEST MONTH For Stocks! History Says The Market Is About To SEND,723,20766,961,87,0.0504671096985457,medium,undefined
From The Desk Of Anthony Pompliano,Tom Lee Warns Of A BIG Market CRASH Later This Year,543,33301,1115,251,0.04101978919551966,short,price-prediction
From The Desk Of Anthony Pompliano,New Fed Chair Kevin Warsh Makes SHOCKING Decision,486,42536,1447,142,0.03735659206319353,short,undefined
From The Desk Of Anthony Pompliano,Should You Buy SpaceX Stock?,452,44592,1110,252,0.030543595263724434,short,news-reaction
From The Desk Of Anthony Pompliano,A MASSIVE Market Melt-Up Is Upon Us! Here's Why,778,12847,674,49,0.05627773020938741,medium,price-prediction
From The Desk Of Anthony Pompliano,Bitcoin Is CRASHING AGAIN! Buy The Dip Or Is It Truly Over?,709,39765,1554,260,0.04561800578398089,medium,coins
From The Desk Of Anthony Pompliano,How To Use AI To Find Stocks To Buy BEFORE They Run,88,2052,70,3,0.03557504873294347,short,news-reaction
From The Desk Of Anthony Pompliano,The Smart Money Is BULLISH On These Two UNDERVALUED AI Stocks,549,17847,736,27,0.04275228329691265,short,news-reaction
From The Desk Of Anthony Pompliano,The BEST WAY To Compound Your Money Into MILLIONS Right Now,852,18952,894,30,0.04875474883917265,medium,undefined
From The Desk Of Anthony Pompliano,How To Make Millions Investing In AI Stocks | Dan Ives ,2866,67748,1723,201,0.028399362342799786,long,news-reaction
From The Desk Of Anthony Pompliano,98.6% Of Crypto Is NEVER Coming Back Except These Coins,1247,43904,1635,301,0.044096209912536447,long,defi-general-crypto
From The Desk Of Anthony Pompliano,The Smart Money Thinks This Could Become A HISTORIC BULL RUN,609,23722,968,81,0.04422055475929517,medium,undefined
From The Desk Of Anthony Pompliano,This Is The End Of The Crypto Industry,816,74715,3215,670,0.05199759084521181,medium,defi-general-crypto
From The Desk Of Anthony Pompliano,"Narrative violation: AI Is Creating Jobs, NOT Taking Them Away",100,1176,34,3,0.031462585034013606,short,news-reaction
From The Desk Of Anthony Pompliano,This Is A GENERATIONAL BULL MARKET! Stocks Are NOT Topping Soon,606,15252,670,33,0.04609231576186729,medium,undefined
From The Desk Of Anthony Pompliano,A MEGA BULL RUN In Stocks Is Underway ,724,19216,710,76,0.04090341382181516,medium,undefined
From The Desk Of Anthony Pompliano,The Stock Market Is About To EXPLODE Higher,766,18827,1031,60,0.05794869071015032,medium,undefined
From The Desk Of Anthony Pompliano,Wall Street Is Worried About A US Recession,80,2330,70,8,0.03347639484978541,short,undefined
From The Desk Of Anthony Pompliano,Bitcoin Is Crushing Gold Since Iran Conflict Started,76,2561,57,5,0.02420929324482624,short,coins
From The Desk Of Anthony Pompliano,This Might Be Bitcoin's Moment Again,74,2369,70,1,0.0299704516673702,short,coins
From The Desk Of Anthony Pompliano,Anthropic Says AI Is Being UNDERUSED In White Collar Jobs,85,2538,90,4,0.037037037037037035,short,news-reaction
From The Desk Of Anthony Pompliano,How Your Investment Portfolio Is Affected With Iran Attacks,94,3277,95,2,0.029600244125724748,short,undefined
From The Desk Of Anthony Pompliano,How To Get Green Candles On Bitcoin Again (Long-term Solution),93,1909,65,1,0.03457307490832897,short,coins
From The Desk Of Anthony Pompliano,"This Is Why Stocks, Bitcoin Are Struggling Lately",77,2147,80,3,0.03865859338612017,short,coins
From The Desk Of Anthony Pompliano,Are You Prepared For The AI Arms Race?,78,1594,53,2,0.03450439146800502,short,news-reaction
From The Desk Of Anthony Pompliano,Logan Paul Might've UNDERSOLD His Pokemon Card For $15 Million,95,8496,103,13,0.013653483992467044,short,undefined
From The Desk Of Anthony Pompliano,Investors Can NOT Trust Government Data Anymore,86,1433,62,1,0.04396371249127704,short,price-prediction
From The Desk Of Anthony Pompliano,The Rocket Fuel That Will Send Markets Higher From Here,89,2067,85,2,0.0420899854862119,short,undefined
From The Desk Of Anthony Pompliano,The Fed And Treasury Are Running The Economy Hot With Cuts And Printing,73,2371,93,5,0.04133277098270772,short,undefined
From The Desk Of Anthony Pompliano,What Is Behind Bitcoin's Crashing Price?,67,3174,112,6,0.037177063642092,short,coins
From The Desk Of Anthony Pompliano,Is This The END Of Bitcoin?,583,61560,2298,328,0.04265756985055231,short,coins
From The Desk Of Anthony Pompliano,SpaceX Is Elon Musk's Biggest Idea Yet,75,2170,80,3,0.03824884792626728,short,news-reaction
